ID do museu,Dificuldade locomoção,Deficiencia Visual e Auditiva,Pessoa Estrangeira,Grupos_Acessibilidade_Filtro
82918,Não possui,Não possui,Não possui,
82916,Não possui,Tradutor de Língua Brasileira de Sinais (LIBRAS),Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
82919,Não possui,Não possui,Não possui,
82917,"Banheiros adaptados, Circuito de visitação adaptado",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
82920,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados, Bebedouro adaptado, Espaço no Cinema para cadeirantes",Sinalização tátil,"Guia, monitor e/ou mediador","Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
82921,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Telefone público adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
82922,Não possui,Não possui,Não possui,
82923,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados",Não possui,Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
82924,Banheiros adaptados,Não possui,Não possui,Acesso e mobilidade (Locomoção)
82925,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados","Guia multimídia (audioguia com monitor), Obras e reproduções táteis, Texto/Etiquetas em Braille",Não possui,"Acesso e mobilidade (Locomoção)"
82926,Não possui,Não possui,Não possui,
82927,"Rampa de acesso, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
82928,Não possui,Não possui,Material de divulgação impresso,Apoio humano ou equipamentos para assistência
82929,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Telefone público adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
82930,Não possui,Não possui,Não possui,
82932,Não informado,Não informado,Material de divulgação impresso,Apoio humano ou equipamentos para assistência
82933,Não possui,Não possui,Não possui,
82934,"Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado",Não informado,As etiquetas estão com tradução para o Inglês,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
82935,Não possui,Não possui,"Guia, monitor e/ou mediador, Sinalização visual",Recursos de Comunicação (Auditiva e Idiomas)
82936,Não possui,Não possui,Não possui,
82937,Não possui,Não possui,Não possui,
82938,Não possui,Não possui,Não possui,
82939,Não informado,Não informado,Não informado,
82940,Não informado,Não informado,Não informado,
82941,Não possui,Não possui,Não possui,
82942,Não possui,Não possui,Não possui,
82943,Não possui,Não possui,Não possui,
82944,Transporte via Bugre para deficientes,Não possui,O site itaunasorg em língua inglesa,
82945,Não possui,Não possui,Não possui,
82946,Circuito de visitação adaptado,"Maquetes táteis ou mapas em relevo, Obras e reproduções táteis","Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
82947,Não possui,Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
82948,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado",Sinalização tátil,Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
82949,Não possui,Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso",Apoio humano ou equipamentos para assistência
82950,Não possui,Não possui,Não possui,
82951,Não informado,Sinalização tátil,Não possui,Recursos Sensoriais (Visual e Tátil)
82952,Não possui,Não possui,Não possui,
82953,Não possui,Não possui,Não possui,
82954,"Rampa de acesso, Elevador",Texto/Etiquetas em Braille,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
82955,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado, Bebedouro adaptado","Maquetes táteis ou mapas em relevo, Tradutor de Língua Brasileira de Sinais (LIBRAS)","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
82956,Não possui,Não possui,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
82957,Não possui,Não possui,Não possui,
82958,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado, Bebedouro adaptado","Guia multimídia (audioguia com monitor), Tradutor de Língua Brasileira de Sinais (LIBRAS)","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
82959,Não possui,Não possui,Não possui,
82960,Banheiros adaptados,Não possui,Não possui,Acesso e mobilidade (Locomoção)
82961,"Rampa de acesso, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado",Sinalização tátil,Não possui,"Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
82962,Não informado,Não informado,Não informado,
82963,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
82964,Não possui,Não possui,Não possui,
82965,Não informado,Não informado,Não informado,
82966,Não possui,Não possui,Não possui,
82967,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
82968,Não possui,Não possui,Não possui,
82969,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados, Bebedouro adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
82970,"Rampa de acesso, Sanitário adaptado, Plataforma para cadeirantes",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
82972,Não possui,Não possui,Não possui,
82973,Não possui,Não possui,Não possui,
82971,Rampa de acesso,Obras e reproduções táteis,Não possui,Acesso e mobilidade (Locomoção)
82974,Circuito de visitação adaptado,Não possui,Não possui,Acesso e mobilidade (Locomoção)
82975,Não possui,Não possui,Não possui,
82976,Não possui,Não possui,Não possui,
82977,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado, Bebedouro adaptado",Audioguia,"Guia, monitor e/ou mediador","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
82978,Não possui,Não possui,Não possui,
82979,Não possui,Não possui,Não possui,
82980,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
82981,"Corrimão nas escadas e rampas, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Elevador adaptado, Telefone público adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille, Tradutor de Língua Brasileira de Sinais (LIBRAS), Piso podotátil",Não possui,"Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
82982,Não possui,Não possui,Não possui,
82983,Não informado,Não informado,Não informado,
82984,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado",Não informado,Não informado,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
82985,Não informado,Não informado,Não informado,
82986,Não possui,Não possui,Não possui,
82988,Não informado,Não informado,Não informado,
82989,Não possui,Não possui,Não possui,
82990,Não possui,Não possui,Não possui,
82991,"Sanitário adaptado, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
82992,Não informado,Não informado,Não informado,
82993,Não informado,Não informado,Não informado,
82994,Não informado,Não informado,Não informado,
82995,Não informado,Não informado,Não informado,
82997,Não informado,Não informado,Não informado,
82998,Não possui,Não possui,Não possui,
82999,"Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83000,Cadeira de rodas para uso do visitante,"Guia multimídia (audioguia com monitor), Obras e reproduções táteis",Sinalização visual,"Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83001,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador, Sinalização visual","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83002,Não possui,Não possui,Não possui,
83003,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não informado,Não informado,Acesso e mobilidade (Locomoção)
83004,Não possui,Não possui,Não possui,
83005,Não informado,Não informado,Não informado,
83006,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83007,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador",Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83008,Não informado,Não informado,Não informado,
83010,Não informado,Não informado,Não informado,
83011,"Rampa de acesso, Sanitário adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83012,Não possui,Não possui,Não possui,
83013,Não possui,Não possui,"Guia, monitor e/ou mediador",
83014,Não possui,Maquetes táteis ou mapas em relevo,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83015,Não possui,Não possui,Não possui,
83016,Corrimão nas escadas e rampas,Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83017,Não informado,Não informado,Não informado,
83018,Não possui,Não possui,Não possui,
83019,Não informado,Não informado,Não informado,
83021,Não possui,Não possui,Não possui,
83020,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado, Bengalas para empréstimo, Andadores para empréstimo","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Site em outros idiomas, Recursos interativos do museu traduzidos em inglês e francês.","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83022,Corrimão nas escadas e rampas,Tradutor de Língua Brasileira de Sinais (LIBRAS),"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83023,Não informado,Não informado,Não informado,
83024,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83025,"Corrimão nas escadas e rampas, Rampa de acesso, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83026,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Elevador adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83027,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83028,Não possui,Não possui,Não possui,
83029,Não informado,"QR code nas etiquetas que leva para uma página na internet, onde os textos informativos são reproduzidos na linguagem do visitante",Não informado,
83030,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83031,Não possui,Não possui,Não possui,
83032,Não possui,Não possui,Não possui,
83033,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Bebedouro adaptado",Não possui,Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
83034,"Rampa de acesso, Sanitário adaptado, Circuito de visitação adaptado, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83035,Não possui,Não possui,Não possui,
83036,Não possui,Não possui,Não possui,
83037,Não possui,Não possui,Não possui,
83038,Não informado,Não informado,Não informado,
83039,Não possui,Não possui,Não possui,
83040,Museu virtual,Museu virtual,Museu virtual,
83041,Não possui,Não possui,Não possui,
83042,Não possui,Não possui,Não possui,
83043,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Cadeira de rodas para uso do visitante, Telefone público adaptado","Maquetes táteis ou mapas em relevo, Sinalização tátil",Não possui,"Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
83044,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado","Maquetes táteis ou mapas em relevo, Obras e reproduções táteis",Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83045,Não possui,Não possui,Não possui,
83046,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83047,Não possui,Não possui,"Guia, monitor e/ou mediador",
83048,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado",Audioguia com com audiodescrição,"Guia, monitor e/ou mediador, Audioguia","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83049,Não possui,Não possui,Não possui,
83051,"Elevador, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado",Maquetes táteis ou mapas em relevo,"Guia, monitor e/ou mediador, Sinalização visual","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83052,"Rampa de acesso, Elevador, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83053,Não possui,Não possui,Não possui,
83054,Não informado,Não informado,Não informado,
83055,"Rampa de acesso, Sanitário adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83056,"Rampa de acesso, Banheiros adaptados, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83057,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado",Maquetes táteis ou mapas em relevo,Não possui,"Acesso e mobilidade (Locomoção)"
83058,Não possui,Não possui,Não possui,
83059,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
83060,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Vaga de estacionamento exclusiva para deficientes e/ou idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83061,Não possui,Não possui,Não possui,
83062,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Bebedouro adaptado",Sinalização tátil,Não possui,"Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
83063,"Cadeira de rodas para uso do visitante, Bebedouro adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção), Apoio humano ou equipamentos para assistência"
83064,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Elevador adaptado, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
83065,Não possui,Não possui,Não possui,
83067,Não possui,Não possui,Não possui,
83068,Não informado,Não informado,Não informado,
83069,"Rampa de acesso, Elevador, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83070,Não possui,Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso",Apoio humano ou equipamentos para assistência
83071,Rampa de acesso,Não possui,Material de divulgação impresso,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
83072,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83073,Não possui,Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83074,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Circuito de visitação adaptado, Elevador adaptado, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
83075,Não informado,Sinalização tátil,Não possui,Recursos Sensoriais (Visual e Tátil)
83076,Não informado,Não informado,Não informado,
83078,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados",Não informado,"Guia, monitor e/ou mediador, Sinalização visual","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83079,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Bebedouro adaptado",Monitores/acompanhantes eventuais através da parceria com a ONG Viva Rio,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83080,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
83081,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83082,Não possui,Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83083,"Rampa de acesso, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Site em outros idiomas","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83084,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Bebedouro adaptado",Guia multimídia (audioguia com monitor),"Tipografias, Identificação dos acervos em inglês e português","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
83086,Não possui,Não possui,Não possui,
83089,Corrimão nas escadas e rampas,Não possui,Não possui,Acesso e mobilidade (Locomoção)
83085,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
83090,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado","Obras e reproduções táteis, Tradutor de Língua Brasileira de Sinais (LIBRAS)",Não possui,"Acesso e mobilidade (Locomoção)"
83087,Não possui,Não possui,Não possui,
83091,Não possui,Não possui,"Guia, monitor e/ou mediador",
83088,Não possui,Não possui,Não possui,
83094,Não possui,Não possui,Não possui,
83092,Não possui,"Tradutor de Língua Brasileira de Sinais (LIBRAS), Material em Braille e textos para pessoas com baixa visão",Não possui,
83095,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
83093,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Banheiros adaptados",Tradutor de Língua Brasileira de Sinais (LIBRAS),Não possui,"Acesso e mobilidade (Locomoção)"
83096,"Rampa de acesso, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83097,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado, Bebedouro adaptado","Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Sinalização tátil, Aplicativo com audiodescrição","Guia, monitor e/ou mediador, Sinalização visual, Audioguia","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83098,Não possui,Não possui,Não possui,
83100,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Maquetes táteis ou mapas em relevo,Não possui,Acesso e mobilidade (Locomoção)
83099,"Rampa de acesso, Sanitário adaptado, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83101,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado","Maquetes táteis ou mapas em relevo, Obras e reproduções táteis","Guia, monitor e/ou mediador, QR Codes no circuito expositivo e códigos para catálogos que podem ser acessados gratuitamente","Acesso e mobilidade (Locomoção)"
83102,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83103,"Corrimão nas escadas e rampas, Rampa de acesso, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83104,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Obras e reproduções táteis,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83105,Não possui,Não possui,Não possui,
83106,Não possui,Não possui,Não possui,
83107,Sanitário adaptado,Não possui,Guia impresso em inglês,Acesso e mobilidade (Locomoção)
83108,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Circuito de visitação adaptado, Elevador adaptado",Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83109,"Rampa de acesso, Sanitário adaptado, Cadeira de rodas para uso do visitante, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83110,Não informado,Não informado,"Guia, monitor e/ou mediador, Sinalização visual",Recursos de Comunicação (Auditiva e Idiomas)
83111,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Elevador adaptado",Tradutor de Língua Brasileira de Sinais (LIBRAS),"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
83112,"Corrimão nas escadas e rampas, Rampa de acesso",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83113,"Sanitário adaptado, Banheiros adaptados",Não possui,Não possui,Acesso e mobilidade (Locomoção)
83114,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
83115,Não possui,Não possui,Material de divulgação impresso,Apoio humano ou equipamentos para assistência
83116,"Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados",Não possui,"Material de divulgação impresso, Site em outros idiomas","Acesso e mobilidade (Locomoção), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83117,Não possui,Não possui,Não possui,
83118,Não possui,Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
83119,"Rampa de acesso, Banheiros adaptados",Obras e reproduções táteis,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
83121,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
83120,"Rampa de acesso, Sanitário adaptado, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83122,Não possui,Não possui,Não possui,
83123,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83124,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
83125,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado, Bebedouro adaptado",Tradutor de Língua Brasileira de Sinais (LIBRAS),Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
83126,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Elevador adaptado",Não possui,Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
83127,"Rampa de acesso, Sanitário adaptado",Não possui,Possui com agendamento,"Acesso e mobilidade (Locomoção)"
83128,Sanitário adaptado,Não possui,Não possui,Acesso e mobilidade (Locomoção)
